folder_name,dataset,model,optimizer,seed,learning_rate,epochs,batch_size,momentum,weight_decay,spsa_a,spsa_c,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,final_train_loss,final_val_loss,final_val_acc,best_val_acc,final_train_acc,training_time
cifar100_ResNet18_QNG_1337_1752456477,cifar100,ResNet18,QNG,1337,0.001,50,32,,,,,0.4495,0.4473321127848827,0.4553763130894004,0.4494999999999999,0.4473321127848827,0.4553763130894004,0.4495,0.0918799874896612,4.8376421075278575,44.95,46.01,97.034,1744.1100568771362
cifar100_ResNet18_QNG_2025_1752458548,cifar100,ResNet18,QNG,2025,0.001,50,32,,,,,0.4103,0.4158551949668254,0.4346572884907075,0.4103,0.4158551949668254,0.4346572884907074,0.4103,0.2120241935299953,4.986757915240888,41.03,41.99,93.338,1742.0465967655182
cifar100_ResNet18_QNG_2025_1752460625,cifar100,ResNet18,QNG,2025,0.001,50,32,,,,,0.4567,0.4515094177400721,0.4574033868127188,0.4567,0.4515094177400721,0.4574033868127188,0.4567,0.0922802017300949,4.794907144083383,45.67,46.52,97.07,1739.8452184200287
cifar100_ResNet18_QNG_2025_1752628490,cifar100,ResNet18,QNG,2025,0.001,50,32,,,,,0.4083,0.4068864862596299,0.4190571621400393,0.4082999999999999,0.4068864862596298,0.4190571621400392,0.4083,0.2267609254808015,4.904984440666418,40.83,41.65,92.928,1753.318271636963
cifar100_ResNet18_QNG_2025_1752630575,cifar100,ResNet18,QNG,2025,0.001,50,32,,,,,0.4521,0.4507975090775358,0.457664111176267,0.4521,0.4507975090775357,0.4576641111762671,0.4521,0.0938303938411981,4.77813355153361,45.21,46.1,96.906,1753.9858169555664
cifar100_ResNet18_QNG_42_1752454408,cifar100,ResNet18,QNG,42,0.001,50,32,,,,,0.4489,0.4469528514427005,0.4560549779342976,0.4489,0.4469528514427006,0.4560549779342978,0.4489,0.0952806661876501,4.8594744540631964,44.89,46.2,96.978,1751.6349124908447
cifar100_SimpleCNN_AdamW_1337_1752584721,cifar100,SimpleCNN,AdamW,1337,0.001,50,32,,0.01,,,0.4327,0.4296145951095772,0.4338500801070269,0.4327,0.4296145951095773,0.4338500801070268,0.4327,0.8531788237779017,2.9323521437355504,43.27,44.59,73.528,885.836386680603
cifar100_SimpleCNN_AdamW_2025_1752585937,cifar100,SimpleCNN,AdamW,2025,0.001,50,32,,0.01,,,0.4341,0.432682307320568,0.4405431595398404,0.4341,0.4326823073205681,0.4405431595398405,0.4341,0.8130297186621778,3.013116368089621,43.41,45.16,74.478,885.8561658859253
cifar100_SimpleCNN_AdamW_42_1752583484,cifar100,SimpleCNN,AdamW,42,0.001,50,32,,0.01,,,0.415,0.4134176291739153,0.4201288399782547,0.415,0.4134176291739153,0.4201288399782547,0.415,1.0422623505290318,2.835520132281148,41.5,43.73,67.752,897.4891541004181
cifar100_SimpleCNN_Adam_1337_1752581052,cifar100,SimpleCNN,Adam,1337,0.001,50,32,,,,,0.4061,0.4055798740107059,0.4117061833761712,0.4061,0.4055798740107059,0.4117061833761713,0.4061,0.8129994047904578,3.9061676633243754,40.61,42.93,74.866,887.931973695755
cifar100_SimpleCNN_Adam_2025_1752582261,cifar100,SimpleCNN,Adam,2025,0.001,50,32,,,,,0.4146,0.4139157686487403,0.4188524118489528,0.4146000000000001,0.4139157686487404,0.4188524118489528,0.4146,0.8445045630842619,3.7736996058077095,41.46,44.35,73.958,889.1454555988312
cifar100_SimpleCNN_Adam_42_1752579850,cifar100,SimpleCNN,Adam,42,0.001,50,32,,,,,0.4,0.4005216613247582,0.4061892329597181,0.4,0.4005216613247581,0.4061892329597179,0.4,0.9435895321007652,3.5061940689818165,40.0,42.61,70.924,877.6199128627777
cifar100_SimpleCNN_QNG_42_1752590813,cifar100,SimpleCNN,QNG,42,0.001,50,32,,,,,0.3966,0.3968122020797828,0.4027316073098939,0.3965999999999999,0.3968122020797828,0.402731607309894,0.3966,0.953150979006664,3.588555694768985,39.66,43.3,70.722,888.4947280883789
cifar100_SimpleCNN_SGD_1337_1752577472,cifar100,SimpleCNN,SGD,1337,0.001,50,32,0.9,,,,0.448,0.4465648448849377,0.454067763516531,0.448,0.4465648448849377,0.454067763516531,0.448,0.6195039170069032,2.7249851382959385,44.8,45.46,80.31,859.9551804065704
