folder_name,dataset,model,optimizer,seed,learning_rate_grid,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,final_train_loss,final_val_loss,final_val_metric
adults_LightGBM_SGD_42_1750185570,adults,LightGBM,SGD,42,"0.1, 0.01, 0.001",0.8774695465247211,0.8212683991748277,0.8454560170663614,0.803520331158434,0.8735196666908932,0.8732651430311279,0.8774695465247211,-0.8826860323757119,-0.8769033909149072,0.8769033909149072
adults_CatBoost_Adam_1337_1750185896,adults,CatBoost,Adam,1337,"0.1, 0.01, 0.001",0.8640597809397073,0.7967063412070647,0.83131013830699,0.7744789272599619,0.8577113329478345,0.8584178792347372,0.8640597809397073,-0.8675219143899162,-0.8712731925783749,0.8712731925783749
adults_CatBoost_Adam_1337_1750185900,adults,CatBoost,Adam,1337,"0.1, 0.01, 0.001",0.8462483365748797,0.7633009579309475,0.8093410138882413,0.7382936416802476,0.83635145065679,0.8383799439736808,0.8462483365748797,-0.848998656343976,-0.8492642354446577,0.8492642354446577
adults_CatBoost_Adam_1337_1750185904,adults,CatBoost,Adam,1337,"0.1, 0.01, 0.001",0.8464530658204524,0.7670688678175157,0.8056371325544547,0.7444376775027142,0.8379620328936085,0.8385653042832251,0.8464530658204524,-0.8462793524857637,-0.8472168905950096,0.8472168905950096
adults_CatBoost_Adam_2025_1750185935,adults,CatBoost,Adam,2025,"0.1, 0.01, 0.001",0.8637526870713481,0.7969259023455867,0.8298113222891139,0.7754496486006015,0.8576590955305087,0.858080066497768,0.8637526870713481,-0.8682577260221384,-0.8696097248880358,0.8696097248880358
adults_CatBoost_Adam_2025_1750185939,adults,CatBoost,Adam,2025,"0.1, 0.01, 0.001",0.8504452861091207,0.7733304733842975,0.8122414440844244,0.750286410281116,0.8422574198931646,0.8431112152143273,0.8504452861091207,-0.849990402456971,-0.8537428023032629,0.8537428023032629
adults_CatBoost_Adam_2025_1750185943,adults,CatBoost,Adam,2025,"0.1, 0.01, 0.001",0.8457365134609479,0.7636132406346898,0.8071079650293312,0.7394229362372204,0.8362519743102946,0.8377377637467878,0.8457365134609479,-0.8460234180049907,-0.8496481126039668,0.8496481126039668
adults_CatBoost_Adam_42_1750185856,adults,CatBoost,Adam,42,"0.1, 0.01, 0.001",0.8695874705701709,0.8053155826673403,0.8399066324693091,0.7828026684965613,0.8636331891325312,0.8645543592665844,0.8695874705701709,-0.8675219143899162,-0.8684580934101087,0.8684580934101087
adults_CatBoost_Adam_42_1750185860,adults,CatBoost,Adam,42,"0.1, 0.01, 0.001",0.8509571092230526,0.772744987138315,0.8148279544808381,0.7485708265112315,0.842250193520721,0.843718798428412,0.8509571092230526,-0.847910934800691,-0.853998720409469,0.853998720409469
adults_CatBoost_Adam_42_1750185864,adults,CatBoost,Adam,42,"0.1, 0.01, 0.001",0.8488074521445389,0.772245436700845,0.8078326343711186,0.7505289898891876,0.8410890709972314,0.841302521607691,0.8488074521445389,-0.8468871968775993,-0.8514395393474088,0.8514395393474088
adults_CatBoost_QNG_1337_1750185916,adults,CatBoost,QNG,1337,"0.1, 0.01, 0.001",0.8640597809397073,0.7967063412070647,0.83131013830699,0.7744789272599619,0.8577113329478345,0.8584178792347372,0.8640597809397073,-0.8675219143899162,-0.8712731925783749,0.8712731925783749
adults_CatBoost_QNG_1337_1750185920,adults,CatBoost,QNG,1337,"0.1, 0.01, 0.001",0.8462483365748797,0.7633009579309475,0.8093410138882413,0.7382936416802476,0.83635145065679,0.8383799439736808,0.8462483365748797,-0.848998656343976,-0.8492642354446577,0.8492642354446577
adults_CatBoost_QNG_2025_1750185955,adults,CatBoost,QNG,2025,"0.1, 0.01, 0.001",0.8637526870713481,0.7969259023455867,0.8298113222891139,0.7754496486006015,0.8576590955305087,0.858080066497768,0.8637526870713481,-0.8682577260221384,-0.8696097248880358,0.8696097248880358
adults_CatBoost_QNG_2025_1750185959,adults,CatBoost,QNG,2025,"0.1, 0.01, 0.001",0.8504452861091207,0.7733304733842975,0.8122414440844244,0.750286410281116,0.8422574198931646,0.8431112152143273,0.8504452861091207,-0.849990402456971,-0.8537428023032629,0.8537428023032629
adults_CatBoost_QNG_42_1750185877,adults,CatBoost,QNG,42,"0.1, 0.01, 0.001",0.8695874705701709,0.8053155826673403,0.8399066324693091,0.7828026684965613,0.8636331891325312,0.8645543592665844,0.8695874705701709,-0.8675219143899162,-0.8684580934101087,0.8684580934101087
adults_CatBoost_QNG_42_1750185880,adults,CatBoost,QNG,42,"0.1, 0.01, 0.001",0.8509571092230526,0.772744987138315,0.8148279544808381,0.7485708265112315,0.842250193520721,0.843718798428412,0.8509571092230526,-0.847910934800691,-0.853998720409469,0.853998720409469
adults_CatBoost_SGD_1337_1750185885,adults,CatBoost,SGD,1337,"0.1, 0.01, 0.001",0.8640597809397073,0.7967063412070647,0.83131013830699,0.7744789272599619,0.8577113329478345,0.8584178792347372,0.8640597809397073,-0.8675219143899162,-0.8712731925783749,0.8712731925783749
adults_CatBoost_SGD_1337_1750185889,adults,CatBoost,SGD,1337,"0.1, 0.01, 0.001",0.8462483365748797,0.7633009579309475,0.8093410138882413,0.7382936416802476,0.83635145065679,0.8383799439736808,0.8462483365748797,-0.848998656343976,-0.8492642354446577,0.8492642354446577
adults_CatBoost_SGD_1337_1750185893,adults,CatBoost,SGD,1337,"0.1, 0.01, 0.001",0.8464530658204524,0.7670688678175157,0.8056371325544547,0.7444376775027142,0.8379620328936085,0.8385653042832251,0.8464530658204524,-0.8462793524857637,-0.8472168905950096,0.8472168905950096
adults_CatBoost_SGD_2025_1750185924,adults,CatBoost,SGD,2025,"0.1, 0.01, 0.001",0.8637526870713481,0.7969259023455867,0.8298113222891139,0.7754496486006015,0.8576590955305087,0.858080066497768,0.8637526870713481,-0.8682577260221384,-0.8696097248880358,0.8696097248880358
adults_CatBoost_SGD_2025_1750185928,adults,CatBoost,SGD,2025,"0.1, 0.01, 0.001",0.8504452861091207,0.7733304733842975,0.8122414440844244,0.750286410281116,0.8422574198931646,0.8431112152143273,0.8504452861091207,-0.849990402456971,-0.8537428023032629,0.8537428023032629
adults_CatBoost_SGD_2025_1750185932,adults,CatBoost,SGD,2025,"0.1, 0.01, 0.001",0.8457365134609479,0.7636132406346898,0.8071079650293312,0.7394229362372204,0.8362519743102946,0.8377377637467878,0.8457365134609479,-0.8460234180049907,-0.8496481126039668,0.8496481126039668
